I am answering the homework.	Ako ay nagsasagot ng takdang-aralin.			Kindly put those inside.	Ipasok mo nga ang mga iyan sa loob.			Take your seats.	Maupo kayo.
I will answer the homework.	Ako ay magsasagot ng takdang-aralin.			Do not disturb me.	Huwag mo akong istorbohin.			Take your seat.	Maupo ka.
You will study.	Ikaw ay mag-aaral.			You are too slow.	Ang bagal mo naman. 			You may all sit down now.	Maari na kayong umupo lahat.
You are studying	Ikaw ay nag-aaral.			That is wrong!	Mali iyan!			You may sit down now.	Maari ka nang umupo.
You studied.	Ikaw ay nag-aral.			Is this wrong?	Mali ba ito?			Take your seats now.	Maupo na kayo.
I go to school.	Ako ay pumapasok sa paaralan.			Is it right?	Tama ba?			Take your seat now.	Maupo ka na.
I went to school.	Ako ay pumasok sa paaralan.			Is this right?	Tama ba ito?			Open your book to page one.	Buksan mo ang iyong aklat sa unang pahina.
I will go to school.	Ako ay papasok sa paaralan.			Is that right?	Tama ba iyan?			Please open your book to page one.	Paki-buksan ang iyong aklat sa unang pahina.
The child went to school.	Ang bata ay pumasok sa eskwela.			My notebook was spilled with water.	Natapunan ng tubig ang notebook ko.			Open your books to page one.	Buksan ang inyong mga aklat sa unang pahina.
The child goes to school.	Ang bata ay pumapasok sa eskwela.			Why aren't you the crush of your crush?	Bakit hindi ka crush ng crush mo?			Please open your books to page one.	Paki-buksan ang inyong mga aklat sa unang pahina.
The child will go to school.	Ang bata ay papasok sa eskwela.			Let us just walk.	Maglakad na lang tayo.			Open your book to the first page.	Buksan mo ang iyong aklat sa unang pahina.
I am studying math.	Nag-aaral ako ng matematika.			Do not be noisy.	Huwag kang maingay.			Please open your book to the first page.	Paki-buksan ang iyong aklat sa unang pahina.
I am studying english.	Nag-aaral ako ng ingles.			Is anybody inside already?	May tao na ba sa loob?			Open your books to the first page.	Buksan ang inyong mga aklat sa unang pahina.
I am studying physics.	Nag-aaral ako ng pisika.			My notebook is old.	Luma na ang notebook ko.			Please open your books to the first page.	Paki-buksan ang inyong mga aklat sa unang pahina.
I am studying chemistry.	Nag-aaral ako ng kemika.			Is anybody inside?	May tao ba sa loob?			Let us just walk.	Mag-lakad na lang tayo.
I am studying filipino.	Nag-aaral ako ng filipino.			Did you hear that?	Narinig mo ba iyon?			Open your book to page two.	Buksan mo ang iyong aklat sa ikalawang pahina.
I am studying social studies.	Nag-aaral ako ng araling panlipunan.			What did you eat?	Ano ang kinain mo?			Please open your book to page two.	Paki-buksan ang iyong aklat sa ikalawang pahina.
I am studying history.	Nag-aaral ako ng kasaysayan.			What did you eat?	Ano ba ang kinain mo?			Open your books to page two.	Buksan ang inyong mga aklat sa ikalawang pahina.
I am studying writing.	Nag-aaral ako ng pagsulat.			You're so good at playing guitar.	Ang galing mong mag-gitara.			Please open your books to page two.	Paki-buksan ang inyong mga aklat sa ikalawang pahina.
I am studying science.	Nag-aaral ako ng agham.			Do you have a band?	May banda ka ba?			Open your book to the second page.	Buksan mo ang iyong aklat sa ikalawang pahina.
I am studying social science.	Nag-aaral ako ng agham panlipunan.			Where did you live?	Saan ka ba nakatira?			Please open your book to the second page.	Paki-buksan ang iyong aklat sa ikalawang pahina.
I am studying speech.	Nag-aaral ako ng pagbigkas.			My head hurts.	Ang sakit ng ulo ko.			Open your books to the second page.	Buksan ang inyong mga aklat sa ikalawang pahina.
My seatmate is copying.	Nangongopya katabi ko.			My tummy hurts.	Ang sakit ng tiyan ko.			Please open your books to the second page.	Paki-buksan ang inyong mga aklat sa ikalawang pahina.
My seatmate is cheating.	Nangongopya katabi ko.			What are you listening to?	Ano ba ang pinapakinggan mo?			Let us walk.	Mag-lakad tayo.
I am studying reading.	Nag-aaral ako ng pagbasa.			What bands do you listen to?	Anu-anong mga banda ba ang pinapakinggan mo?			Open your book to page three.	Buksan mo ang iyong aklat sa ikatlong pahina.
I am studying reading.	Nag-aaral ako ng pagbabasa.			Have you heard them?	Narinig mo na ba sila?			Please open your book to page three.	Paki-buksan ang iyong aklat sa ikatlong pahina.
No one passed.	Walang pumasa.			Have you heard them play?	Narinig mo na ba sila na tumugtog?			Open your books to page three.	Buksan ang inyong mga aklat sa ikatlong pahina.
Nobody passed.	Walang pumasa.			That band is so good!	Ang galing ng bandang iyon!			Please open your books to page three.	Paki-buksan ang inyong mga aklat sa ikatlong pahina.
I passed the paper.	Pinasa ko ang papel.			That band is so awesome!	Ang tindi ng bandang iyon!			Open your book to the third page.	Buksan mo ang iyong aklat sa ikatlong pahina.
I am passing the paper.	Pinapasa ko ang papel.			Let's stand up.	Tumayo na tayo.			Please open your book to the third page.	Paki-buksan ang iyong aklat sa ikatlong pahina.
I will pass the paper.	Ipapasa ko ang papel.			Let's sit down.	Umupo na tayo.			Open your books to the third page.	Buksan ang inyong mga aklat sa ikatlong pahina.
I passed the paper.	Nagpasa ako ng papel.			They have a new song.	May bago silang kanta.			Please open your books to the third page.	Paki-buksan ang inyong mga aklat sa ikatlong pahina.
I am passing the paper.	Nagpapasa ako ng papel.			They are the real thieves.	Sila ang tunay na mandurukot.			Let us walk around.	Mag-lakad-lakad tayo.
I will pass the paper.	Magpapasa ako ng papel.			Beware of pickpocket.	Mag-ingat sa mandurukot.			Open your book to page four.	Buksan mo ang iyong aklat sa ika-apat na pahina.
I am a fast reader.	Mabilis ako magbasa.			The line starts here.	Dito ang umpisa ng pila.			Please open your book to page four.	Paki-buksan ang iyong aklat sa ika-apat na pahina.
I am a faster reader.	Mas mabilis ako magbasa.			Where did you buy that?	Saan mo nabili iyan?			Open your books to page four.	Buksan ang inyong mga aklat sa ika-apat na pahina.
I am the fastest reader.	Pinakamabilis ako magbasa.			Where did you buy that?	Saan mo ba nabili iyan?			Please open your books to page four.	Paki-buksan ang inyong mga aklat sa ika-apat na pahina.
I am a very fast reader.	Napakabilis kong bumasa.			Someone is sitting here.	May nakaupo rito.			Open your book to the fourth page.	Buksan mo ang iyong aklat sa ika-apat na pahina.
I am a good writer.	Magaling ako magsulat.			Someone is sitting there.	May nakaupo riyan.			Please open your book to the fourth page.	Paki-buksan ang iyong aklat sa ika-apat na pahina.
I am a better writer.	Mas magaling ako magsulat.			Why did you stand?	Bakit ka tumayo?			Open your books to the fourth page.	Buksan ang inyong mga aklat sa ika-apat na pahina.
I am the fastest reader.	Pinakamagaling ako magsulat.			Why did you sit?	Bakit ka umupo?			Please open your books to the fourth page.	Paki-buksan ang inyong mga aklat sa ika-apat na pahina.
I am answering.	Ako ay nagsasagot.			Who are the thieves?	Sino ang mandurukot?			Let me borrow an umbrella.	Pahiram ng payong.
I answered.	Ako ay nagsagot.			Sit here.	Umupo ka rito.			May I borrow an umbrella?	Pwede bang maki-hiram ng payong?
I will answer.	Ako ay magsasagot.			Sit there.	Umupo ka riyan. 			May I borrow an umbrella?	Pwede bang pahiram ng payong?
I answered.	Nagsagot ako.			Leave already.	Umalis ka na.			Let me borrow your umbrella.	Pahiram ng payong mo.
I am answering.	Nagsasagot ako.			Leave.	Umalis ka.			May I borrow your umbrella?	Pwede bang maki-hiram ng payong mo?
I will answer.	Magsasagot ako.			Leave this place.	Umalis ka sa lugar na ito.			May I borrow your umbrella?	Pwede bang pahiram ng payong mo?
I will go in on Monday.	Papasok ako sa Lunes.			Stand.	Tumayo ka.			May I borrow money to buy softdrinks?	Pwede bang pahiram ng pambili ng softdrinks?
I will go in on Tuesday.	Papasok ako sa Martes.			Let us stand.	Tumayo tayo.			Open your book to page six.	Buksan mo ang iyong aklat sa ika-anim na pahina.
I will go in on Wednesday.	Papasok ako sa Miyerkules.			Sit.	Umupo ka.			Please open your book to page six.	Paki-buksan ang iyong aklat sa ika-anim na pahina.
I will go in on Thursday.	Papasok ako sa Huwebes.			Let us sit.	Umupo tayo.			Open your books to page six.	Buksan ang inyong mga aklat sa ika-anim na pahina.
I will go in on Friday.	Papasok ako sa Biyernes.			Leave.	Umalis ka rito.			Please open your books to page six.	Paki-buksan ang inyong mga aklat sa ika-anim na pahina.
I will go in on Saturday.	Papasok ako sa Sabado.			Leave!	Alis!			Open your book to the sixth page.	Buksan mo ang iyong aklat sa ika-anim na pahina.
I will not go in on Sunday.	Hindi ako papasok sa Linggo.			Will you leave?	Aalis ka ba?			Please open your book to the sixth page.	Paki-buksan ang iyong aklat sa ika-anim na pahina.
I will go on Monday.	Pupunta ako sa Lunes.			Kailan ka aalis?	When will you leave?			Open your books to the sixth page.	Buksan ang inyong mga aklat sa ika-anim na pahina.
I will go on Tuesday.	Pupunta ako sa Martes.			Aalis ka na ba?	Will you leave already?			Please open your books to the sixth page.	Paki-buksan ang inyong mga aklat sa ika-anim na pahina.
I will go on Wednesday.	Pupunta ako sa Miyerkules.			Aalis ka na?	Are you leaving?			Let us walk around first.	Mag-lakad-lakad muna tayo.
I will go on Thursday.	Pupunta ako sa Huwebes.			Aalis ka na ba?	Are you leaving already?			Open your book to page seven.	Buksan mo ang iyong aklat sa ika-pitong pahina.
I will go on Friday.	Pupunta ako sa Biyernes.			I'm going home.	Uuwi na ako.			Please open your book to page seven.	Paki-buksan ang iyong aklat sa ika-pitong pahina.
I will go on Saturday.	Pupunta ako sa Sabado.			When can I go home?	Kailan ako pwedeng umuwi?			Open your books to page seven.	Buksan ang inyong mga aklat sa ika-pitong pahina.
I will not go on Sunday.	Hindi ako pupunta sa Linggo.			When will you go home?	Kailan ka uuwi?			Please open your books to page seven.	Paki-buksan ang inyong mga aklat sa ika-pitong pahina.
The room is hot.	Mainit sa kwarto.			You took everything!	Kinuha mo na lahat!			Open your book to the seventh page.	Buksan mo ang iyong aklat sa ika-pitong pahina.
She is small.	Maliit siya.			Set aside the chairs and tables.	Itabi mo ang mga silya at lamesa.			Please open your book to the seventh page.	Paki-buksan ang iyong aklat sa ika-pitong pahina.
He is small.	Maliit siya.			Why are you laughing?	Bakit ka tumatawa?			Open your books to the seventh page.	Buksan ang inyong mga aklat sa ika-pitong pahina.
Only a few passed.	Kaunti lamang ang pumasa.			Why is it like that?	Bakit ba ganyan?			Please open your books to the seventh page.	Paki-buksan ang inyong mga aklat sa ika-pitong pahina.
He did not study.	Hindi siya nag-aral.			Why should it be like that?	Bakit ba ganyan?			Let us walk instead.	Mag-lakad na lang tayo.
He is not studying.	Hindi siya nag-aaral.			I am writing.	Nagsusulat ako.			Let's walk instead.	Mag-lakad na lang tayo.
He does not study.	Hindi siya nag-aaral.			Who knows how to dance?	Sino ang marunong sumayaw?			Open your book to page eight.	Buksan mo ang iyong aklat sa ika-walong pahina.
He will not study.	Hindi siya mag-aaral.			Who is good at dancing?	Sino ang magaling sumayaw?			Please open your book to page eight.	Paki-buksan ang iyong aklat sa ika-walong pahina.
I am reading a book now.	Nagbabasa ako ng libro ngayon.			Who is good at singing?	Sino ang magaling kumanta?			Open your books to page eight.	Buksan ang inyong mga aklat sa ika-walong pahina.
She did not study.	Hindi siya nag-aral.			Who knows how to play guitar?	Sino ang marunong mag-gitara?			Please open your books to page eight.	Paki-buksan ang inyong mga aklat sa ika-walong pahina.
She is not studying.	Hindi siya nag-aaral.			Who knows how to play guitar?	Sino ang marunong tumugtog ng gitara?			Open your book to the eighth page.	Buksan mo ang iyong aklat sa ika-walong pahina.
She does not study.	Hindi siya nag-aaral.			I submitted the paper	Pinasa ko ang papel			Please open your book to the eighth page.	Paki-buksan ang iyong aklat sa ika-walong pahina.
She will not study.	Hindi siya mag-aaral.			I am submitting the paper	Pinapasa ko ang papel			Open your books to the eighth page.	Buksan ang inyong mga aklat sa ika-walong pahina.
I read books.	Nagbabasa ako ng mga libro.			I will submit the paper	Ipapasa ko ang papel			Please open your books to the eighth page.	Paki-buksan ang inyong mga aklat sa ika-walong pahina.
I read a book.	Nagbasa ako ng libro.			I submitted the paper	Nagpasa ako ng papel			One finger.	Isang daliri.
I will read a book.	Magbabasa ako ng libro.			I am submitting the paper	Nagpapasa ako ng papel			Two fingers.	Dalawang daliri.
I read the book.	Binasa ko ang libro.			I will submit the paper	Magpapasa ako ng papel			Three fingers.	Tatlong daliri.
I am reading the book.	Binabasa ko ang libro.			Who will report today?	Sino ang mag-uulat ngayong araw?			Four fingers.	Apat na daliri.
I will read the book.	Babasahin ko ang libro.			Who will be reporting today?	Sino ang mag-uulat ngayong araw?			Five fingers.	Limang daliri.
I wrote a letter.	Nagsulat ako ng letra.			Will I be the one reporting today?	Ako ba ang mag-uulat ngayong araw?			Six fingers.	Anim na daliri.
I am writing a letter.	Nagsusulat ako ng letra.			Am I the one reporting today?	Ako ba ang mag-uulat ngayong araw?			Seven fingers.	Pitong daliri.
I will write a letter.	Magsusulat ako ng letra.			Will you be the one reporting today?	Ikaw ba ang mag-uulat ngayong araw?			Eight fingers.	Walong daliri.
I wrote letters.	Nagsulat ako ng mga letra.			Are you the one reporting today?	Ikaw ba ang mag-uulat ngayong araw?			Nine fingers.	Siyam na daliri.
I am writing letters.	Nagsusulat ako ng mga letra.			What is your name?	Ano ang pangalan mo?			Ten fingers.	Sampung daliri.
I will write letters.	Magsusulat ako ng mga letra.			What is our homework?	Ano ang ating takdang-aralin?			Eleven kilograms.	Labing-isang kilo.
I wrote a letter.	Sumulat ako ng letra.			Where do we sit?	Saan tayo uupo?			Twelve kilograms.	Labindalawang kilo.
I am writing a letter.	Sumusulat ako ng letra.			Good morning friend.	Magandang umaga kaibigan.			Thirteen kilograms.	Labintatlong kilo.
I will write a letter.	Susulat ako ng letra.			Good afternoon friend.	Magandang hapon kaibigan.			Fourteen kilograms.	Labing-apat na kilo.
I wrote letters.	Sumulat ako ng mga letra.			When will we go home?	Kailan tayo uuwi?			Fifteen kilograms.	Labinlimang kilo.
I am writing letters.	Sumusulat ako ng mga letra.			Good morning madame.	Magandang umaga po ginang.			Sixteen kilograms.	Labing-anim na kilo.
I will write letters.	Susulat ako ng mga letra.			Good afternoon madame.	Magandang hapon po ginang.			Seventeen kilograms.	Labimpitong kilo.
I listened to the professor.	Nakinig ako sa propesor.			Good morning sir.	Magandang umaga po ginoo.			Eighteen kilograms.	Labingwalong kilo.
I listen to the professor.	Nakikinig ako sa propesor.			Good afternoon sir.	Magandang hapon po ginoo.			Nineteen kilograms.	Labinsiyam na kilo.
I will listen to the professor.	Makikinig ako sa propesor.			You were right.	Tama ka pala.			Twenty kilograms.	Dalawampung kilo.
I listened to the professor.	Pinakinggan ko ang propesor.			You were right.	Tama ka nga pala.			Thirty meters.	Tatlumpung metro.
I listen to the professor.	Pinapakinggan ko ang propesor.			Not really.	Hindi naman.			Forty meters.	Apatnapung metro.
I will listen to the professor.	Papakinggan ko ang propesor.			This is not expensive.	Hindi naman mahal ito.			Fifty meters.	Limampung metro.
I listened to the professors.	Nakinig ako sa mga propesor.			This is cheap.	Mura lang ito.			Sixty meters.	Animnapung metro.
I listen to the professors.	Nakikinig ako sa mga propesor.			This is just cheap.	Mura lang naman ito.			Seventy meters.	Pitumpung metro.
I will listen to the professors.	Makikinig ako sa mga propesor.			This is not really that expensive.	Hindi naman gaanong mahal ito.			Eighty meters.	Walumpung metro.
I listened to the teacher.	Nakinig ako sa guro.			Don't ask.	Huwag mo nang itanong.			Ninety meters.	Siyamnapung metro.
I listen to the teacher.	Nakikinig ako sa guro.			Don't ask me.	Huwag mo nang itanong sa akin.			One hundred meters.	Isang daang metro.
I will listen to the teacher.	Makikinig ako sa guro.			I won't tell you.	Hindi ko sasabihin sa iyo.			One hundred meters.	Sandaang metro.
I listened to the teacher.	Nakinig ako sa mga guro.			Wait for me!	Hintayin mo ako!			Two hundred meters.	Dalawang daang metro.
I listen to the teachers.	Nakikinig ako sa mga guro.			Wait!	Sandali lang!			Lend me two hundred pesos.	Pautang ng dalawang daang piso.
I will listen to the teachers.	Makikinig ako sa mga guro.			Wait for me here.	Hintayin mo ako dito.			Three hundred pesos.	Tatlong daang piso.
My classmate is good.	Ang kaklase ko ay mabait.			Just wait for me here.	Hintayin mo lang ako dito.			Four hundred pesos.	Apat na raang piso.
My classmates are good.	Ang mga kaklase ko ay mababait.			I'm thirsty.	Nauuhaw ako.			Five hundred pesos.	Limang daang piso.
My classmate is intelligent.	Ang kaklase ko ay matalino.			So what?	Eh ano ngayon?			Six hundred pesos.	Anim na raang piso.
My classmates are intelligent.	Ang mga kaklase ko ay matatalino.			I want to get drunk.	Gusto ko nang maglasing.			Seven hundred pesos.	Pitong daang piso.
My teacher is intelligent.	Ang guro ko ay matalino.			I want to get drunk tonight.	Gusto ko nang maglasing ngayong gabi.			Eight hundred pesos.	Walong daang piso.
My teachers are intelligent.	Ang mga guro ko ay matatalino.			Where are you now?	Nasaan ka ngayon?			Nine hundred pesos.	Siyam na raang piso.
My professor is intelligent.	Ang propesor ko ay matalino.			I'm about to be finished.	Malapit na akong matapos.			One thousand pesos.	Isang libong piso.
My professors are intelligent.	Ang mga propesor ko ay matatalino.			I'm almost done.	Malapit na akong matapos.			Two thousand pesos.	Dalawang libong piso.
My classmate is good.	Mabait ang kaklase ko.			This won't take long.	Sandali lang ito.			Three thousand pesos.	Tatlong libong piso.
My classmates are good.	Mababait ang mga kaklase ko.			Almost done!	Malapit nang matapos!			Four thousand pesos.	Apat na  libong piso.
My classmate is intelligent.	Matalino ang aking kaklase.			It's almost done.	Malapit nang matapos ito.			Five thousand pesos.	Limang libong piso.
My classmates are intelligent.	Matatalino ang aking mga kaklase.			Done!	Tapos na!			Six thousand pesos.	Anim na libong piso.
My classmate is good.	Mabait ang aking kaklase.			I'm done!	Tapos na ako!			Seven thousand pesos.	Pitong libong piso.
My classmates are good.	Mababait ang aking mga kaklase.			It's done.	Tapos na iyon.			Eight thousand pesos.	Walong libong piso.
My classmate is intelligent.	Matalino ang kaklase ko.			I'm tired.	Pagod na ako.			Nine thousand pesos.	Siyam na libong piso.
My classmates are intelligent.	Matatalino ang mga kaklase ko.			This is boring.	Nakakabagot naman ito.			Ten thousand pesos.	Sampung libong piso.
My teacher is intelligent.	Matalino ang aking guro.			This is so boring!	Sobrang nakakabagot naman ito!			Twenty thousand pesos.	Dalawampung libong piso.
My teachers are intelligent.	Matatalino ang aking mga guro.			I don't like vegetables.	Ayaw ko ng gulay.			Thirty thousand pesos.	Tatlumpung libong piso.
